name;description;date;week_day_name
Brazilian Valentine's Day;Brazilian Valentine's Day is a observance in Brazil;2022-06-12;Sunday
Corpus Christi;Corpus Christi is a Christian feast in honor of the Holy Eucharist.;2022-06-16;Thursday
June Solstice;June Solstice in Brazil (Brasilia);2022-06-21;Tuesday
Father's Day;Father's Day is a observance in Brazil;2022-08-14;Sunday
Independence Day;Independence Day is a national holiday in Brazil;2022-09-07;Wednesday
September Equinox;September Equinox in Brazil (Brasilia);2022-09-22;Thursday
Our Lady of Aparecida / Children's Day;Our Lady of Aparecida / Children's Day is a national holiday in Brazil;2022-10-12;Wednesday
Teacher's Day;Teacher's Day is a observance in Brazil;2022-10-15;Saturday
Public Service Holiday;Public Service Holiday is a government holiday in Brazil;2022-10-28;Friday
All Souls' Day;All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.;2022-11-02;Wednesday
Republic Proclamation Day;Republic Proclamation Day is a national holiday in Brazil;2022-11-15;Tuesday
Black Awareness Day;Black Awareness Day is a observance in Brazil;2022-11-20;Sunday
December Solstice;December Solstice in Brazil (Brasilia);2022-12-21;Wednesday
Christmas Eve (from 2pm);Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.;2022-12-24;Saturday
Christmas Day;Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.;2022-12-25;Sunday
New Year's Eve (from 2pm);New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar.;2022-12-31;Saturday
New Year's Day;New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar.;2023-01-01;Sunday
Carnival Friday;Carnival Friday is a observance in Brazil;2023-02-17;Friday
Carnival Saturday;Carnival Saturday is a observance in Brazil;2023-02-18;Saturday
Carnival Sunday;Carnival Sunday is a observance in Brazil;2023-02-19;Sunday
Carnival Monday;Carnival Monday is a government holiday in Brazil;2023-02-20;Monday
Carnival Tuesday;Carnival has several long-standing traditions in Brazil.;2023-02-21;Tuesday
Carnival end (until 2pm);Ash Wednesday marks the first day of Lent in western Christian churches.;2023-02-22;Wednesday
March Equinox;March Equinox in Brazil (Brasilia);2023-03-20;Monday
Good Friday;Good Friday is a global Christian observance two days before Easter Sunday.;2023-04-07;Friday
Easter Sunday;Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief.;2023-04-09;Sunday
Tiradentes Day;Tiradentes Day is a national holiday in Brazil;2023-04-21;Friday
Labor Day / May Day;Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world.;2023-05-01;Monday
Mother's Day;Mother’s Day celebrates the achievements and efforts of mothers and mother figures.;2023-05-14;Sunday
Corpus Christi;Corpus Christi is a Christian feast in honor of the Holy Eucharist.;2023-06-08;Thursday
Brazilian Valentine's Day;Brazilian Valentine's Day is a observance in Brazil;2023-06-12;Monday
June Solstice;June Solstice in Brazil (Brasilia);2023-06-21;Wednesday
Father's Day;Father's Day is a observance in Brazil;2023-08-13;Sunday
Independence Day;Independence Day is a national holiday in Brazil;2023-09-07;Thursday
September Equinox;September Equinox in Brazil (Brasilia);2023-09-23;Saturday
Our Lady of Aparecida / Children's Day;Our Lady of Aparecida / Children's Day is a national holiday in Brazil;2023-10-12;Thursday
Teacher's Day;Teacher's Day is a observance in Brazil;2023-10-15;Sunday
Public Service Holiday;Public Service Holiday is a government holiday in Brazil;2023-10-28;Saturday
All Souls' Day;All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.;2023-11-02;Thursday
Republic Proclamation Day;Republic Proclamation Day is a national holiday in Brazil;2023-11-15;Wednesday
Black Awareness Day;Black Awareness Day is a observance in Brazil;2023-11-20;Monday
December Solstice;December Solstice in Brazil (Brasilia);2023-12-22;Friday
Christmas Eve (from 2pm);Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.;2023-12-24;Sunday
Christmas Day;Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.;2023-12-25;Monday
New Year's Eve (from 2pm);New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar.;2023-12-31;Sunday
